N,OBSERVE_DESCRIBE,OBSERVE_ACTAWARE,OBSERVE_NONJUDGE,OBSERVE_NONREACT,DESCRIBE_ACTAWARE,DESCRIBE_NONJUDGE,DESCRIBE_NONREACT,ACTAWARE_NONJUDGE,ACTAWARE_NONREACT,NONJUDGE_NONREACT
100,0.728,0.307,0.096,0.342,0.855,0.539,0.588,0.942,0.914,0.931
150,0.898,0.434,0.135,0.501,0.965,0.733,0.77,0.992,0.984,0.99
175,0.935,0.507,0.142,0.561,0.981,0.794,0.834,0.996,0.994,0.997
200,0.966,0.56,0.16,0.613,0.992,0.851,0.877,0.999,0.998,0.999
225,0.98,0.626,0.182,0.669,0.995,0.879,0.918,1.0,0.999,1.0
250,0.986,0.658,0.183,0.716,0.999,0.92,0.943,1.0,1.0,1.0
275,0.991,0.701,0.21,0.755,1.0,0.943,0.959,1.0,1.0,1.0
300,0.995,0.742,0.222,0.795,1.0,0.963,0.971,1.0,1.0,1.0
325,0.999,0.785,0.233,0.828,1.0,0.971,0.981,1.0,1.0,1.0
350,0.999,0.806,0.257,0.859,1.0,0.981,0.987,1.0,1.0,1.0
375,0.999,0.821,0.279,0.873,1.0,0.982,0.99,1.0,1.0,1.0
400,0.999,0.86,0.284,0.895,1.0,0.988,0.995,1.0,1.0,1.0
450,1.0,0.89,0.314,0.92,1.0,0.996,0.997,1.0,1.0,1.0
500,1.0,0.921,0.339,0.953,1.0,0.997,0.999,1.0,1.0,1.0
600,1.0,0.96,0.397,0.973,1.0,0.999,1.0,1.0,1.0,1.0
800,1.0,0.99,0.506,0.994,1.0,1.0,1.0,1.0,1.0,1.0
1000,1.0,0.997,0.603,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1200,1.0,0.999,0.683,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1400,1.0,1.0,0.751,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1500,1.0,1.0,0.782,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1550,1.0,1.0,0.796,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1600,1.0,1.0,0.801,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1650,1.0,1.0,0.821,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1700,1.0,1.0,0.828,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1750,1.0,1.0,0.841,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1800,1.0,1.0,0.847,1.0,1.0,1.0,1.0,1.0,1.0,1.0
