N,OBSERVE_DESCRIBE,OBSERVE_ACTAWARE,OBSERVE_NONJUDGE,OBSERVE_NONREACT,DESCRIBE_ACTAWARE,DESCRIBE_NONJUDGE,DESCRIBE_NONREACT,ACTAWARE_NONJUDGE,ACTAWARE_NONREACT,NONJUDGE_NONREACT
65,0.545,0.207,0.078,0.227,0.675,0.37,0.406,0.785,0.758,0.787
66,0.554,0.214,0.078,0.241,0.686,0.384,0.41,0.792,0.777,0.791
70,0.571,0.217,0.078,0.252,0.708,0.405,0.435,0.825,0.789,0.814
85,0.657,0.262,0.09,0.296,0.795,0.479,0.507,0.885,0.863,0.885
110,0.782,0.342,0.1,0.389,0.889,0.588,0.629,0.95,0.942,0.951
114,0.796,0.341,0.113,0.385,0.901,0.606,0.651,0.96,0.949,0.959
115,0.802,0.343,0.106,0.386,0.9,0.602,0.646,0.96,0.95,0.962
155,0.904,0.459,0.139,0.507,0.967,0.738,0.79,0.992,0.988,0.991
160,0.913,0.465,0.141,0.513,0.97,0.757,0.79,0.993,0.99,0.994
165,0.922,0.478,0.141,0.537,0.976,0.768,0.809,0.995,0.991,0.994
175,0.934,0.506,0.146,0.558,0.981,0.792,0.836,0.996,0.994,0.997
176,0.942,0.504,0.146,0.559,0.982,0.799,0.838,0.997,0.994,0.997
180,0.945,0.515,0.15,0.574,0.985,0.805,0.844,0.997,0.996,0.997
300,0.995,0.738,0.221,0.795,1.0,0.964,0.972,1.0,1.0,1.0
305,0.995,0.749,0.229,0.797,1.0,0.959,0.973,1.0,1.0,1.0
310,0.997,0.748,0.227,0.802,1.0,0.96,0.977,1.0,1.0,1.0
340,0.998,0.793,0.249,0.84,1.0,0.977,0.984,1.0,1.0,1.0
345,0.999,0.799,0.252,0.849,1.0,0.975,0.985,1.0,1.0,1.0
347,0.998,0.803,0.252,0.846,1.0,0.975,0.983,1.0,1.0,1.0
350,0.999,0.804,0.259,0.851,1.0,0.98,0.986,1.0,1.0,1.0
1580,1.0,1.0,0.795,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1590,1.0,1.0,0.798,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1600,1.0,1.0,0.801,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1610,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
